,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,BBCWorld,Mali jihadist faces war crimes charges at International Criminal Court https://t.co/S9jP4zK1lS,Sat Mar 31 22:32:48 +0000 2018,-0.8555,0.0,0.54,0.46,1
1,BBCWorld,In pictures: Christians celebrate Easter around the world https://t.co/L3dNNyDAJi,Sat Mar 31 22:06:25 +0000 2018,0.5719,0.316,0.0,0.684,2
2,BBCWorld,French fairground ride hurls man to death https://t.co/bT1hIFLmpN,Sat Mar 31 21:15:33 +0000 2018,-0.5994,0.0,0.358,0.642,3
3,BBCWorld,Mount Everest: Sherpa to attempt record 22nd climb https://t.co/EeYVMBm9Kq,Sat Mar 31 21:05:46 +0000 2018,0.0,0.0,0.0,1.0,4
4,BBCWorld,Sri Lankan navy refloats WW2 ship https://t.co/VA0ndRRrnZ,Sat Mar 31 20:29:45 +0000 2018,0.0,0.0,0.0,1.0,5
5,BBCWorld,New footage emerges of the lead up to the 2016 police shooting of Alton Sterling https://t.co/5J8TDTNaAr,Sat Mar 31 18:40:18 +0000 2018,0.0,0.0,0.0,1.0,6
6,BBCWorld,Rhino census in India's Kaziranga park counts 12 more https://t.co/mEBe2fqFTo,Sat Mar 31 18:28:00 +0000 2018,0.0,0.0,0.0,1.0,7
7,BBCWorld,Donald Trump steps up attacks on Amazon https://t.co/2Z3qwpi0cZ,Sat Mar 31 18:18:54 +0000 2018,-0.296,0.16,0.274,0.566,8
8,BBCWorld,Spy poisoning: UK plays down Russia complaint at plane search https://t.co/ZVk7MIb3UY,Sat Mar 31 16:54:08 +0000 2018,-0.6124,0.125,0.375,0.5,9
9,BBCWorld,"RT @BBCSteveR: After reading today's Russian papers, I have some good news &amp; some bad news. The good news: this isn't a new cold war. The b…",Sat Mar 31 16:24:29 +0000 2018,0.6647,0.267,0.105,0.628,10
10,BBCWorld,Yemen war: Fire damages World Food Programme warehouses https://t.co/uz73fwDYMh,Sat Mar 31 16:14:12 +0000 2018,-0.8481,0.0,0.605,0.395,11
11,BBCWorld,French armed officers spark Italy migrant centre row https://t.co/91H7EAR5qs,Sat Mar 31 16:08:58 +0000 2018,0.2263,0.192,0.0,0.808,12
12,BBCWorld,There's a good reason why this woman was asked to play the flute during brain surgery 🧠 https://t.co/5SjPgUBZ77,Sat Mar 31 13:25:22 +0000 2018,0.6486,0.275,0.0,0.725,13
13,BBCWorld,Indian lowest-caste Dalit man killed 'for owning horse' https://t.co/kUtVnFkcFK,Sat Mar 31 12:53:38 +0000 2018,-0.6705,0.0,0.36,0.64,14
14,BBCWorld,"""I'm just so happy to be home""

@Malala on her return to Pakistan for the first time since being shot by Taliban mi… https://t.co/cMcD8TUnuQ",Sat Mar 31 12:45:02 +0000 2018,0.6948,0.171,0.0,0.829,15
15,BBCWorld,"David Warner apologises for his part in the ball-tampering scandal and says he has a ""tiny ray of hope"" he might pl… https://t.co/nK6g1EFbsf",Sat Mar 31 12:22:34 +0000 2018,0.2023,0.177,0.109,0.714,16
16,BBCWorld,Office lunch theft: the internet reacts https://t.co/9OHdHiqYrs,Sat Mar 31 12:06:03 +0000 2018,0.0,0.0,0.0,1.0,17
17,BBCWorld,Tesla in fatal California crash was in Autopilot https://t.co/AJd2tl4clO,Sat Mar 31 10:40:54 +0000 2018,-0.7351,0.0,0.47,0.53,18
18,BBCWorld,Spy poisoning: Russia expels more UK diplomats https://t.co/VuszYDdPxl,Sat Mar 31 10:05:53 +0000 2018,-0.7506,0.0,0.516,0.484,19
19,BBCWorld,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct,Sat Mar 31 10:02:07 +0000 2018,0.93,0.58,0.0,0.42,20
20,BBCWorld,Mali jihadist faces war crimes charges at International Criminal Court https://t.co/S9jP4zK1lS,Sat Mar 31 22:32:48 +0000 2018,-0.8555,0.0,0.54,0.46,21
21,BBCWorld,In pictures: Christians celebrate Easter around the world https://t.co/L3dNNyDAJi,Sat Mar 31 22:06:25 +0000 2018,0.5719,0.316,0.0,0.684,22
22,BBCWorld,French fairground ride hurls man to death https://t.co/bT1hIFLmpN,Sat Mar 31 21:15:33 +0000 2018,-0.5994,0.0,0.358,0.642,23
23,BBCWorld,Mount Everest: Sherpa to attempt record 22nd climb https://t.co/EeYVMBm9Kq,Sat Mar 31 21:05:46 +0000 2018,0.0,0.0,0.0,1.0,24
24,BBCWorld,Sri Lankan navy refloats WW2 ship https://t.co/VA0ndRRrnZ,Sat Mar 31 20:29:45 +0000 2018,0.0,0.0,0.0,1.0,25
25,BBCWorld,New footage emerges of the lead up to the 2016 police shooting of Alton Sterling https://t.co/5J8TDTNaAr,Sat Mar 31 18:40:18 +0000 2018,0.0,0.0,0.0,1.0,26
26,BBCWorld,Rhino census in India's Kaziranga park counts 12 more https://t.co/mEBe2fqFTo,Sat Mar 31 18:28:00 +0000 2018,0.0,0.0,0.0,1.0,27
27,BBCWorld,Donald Trump steps up attacks on Amazon https://t.co/2Z3qwpi0cZ,Sat Mar 31 18:18:54 +0000 2018,-0.296,0.16,0.274,0.566,28
28,BBCWorld,Spy poisoning: UK plays down Russia complaint at plane search https://t.co/ZVk7MIb3UY,Sat Mar 31 16:54:08 +0000 2018,-0.6124,0.125,0.375,0.5,29
29,BBCWorld,"RT @BBCSteveR: After reading today's Russian papers, I have some good news &amp; some bad news. The good news: this isn't a new cold war. The b…",Sat Mar 31 16:24:29 +0000 2018,0.6647,0.267,0.105,0.628,30
30,BBCWorld,Yemen war: Fire damages World Food Programme warehouses https://t.co/uz73fwDYMh,Sat Mar 31 16:14:12 +0000 2018,-0.8481,0.0,0.605,0.395,31
31,BBCWorld,French armed officers spark Italy migrant centre row https://t.co/91H7EAR5qs,Sat Mar 31 16:08:58 +0000 2018,0.2263,0.192,0.0,0.808,32
32,BBCWorld,There's a good reason why this woman was asked to play the flute during brain surgery 🧠 https://t.co/5SjPgUBZ77,Sat Mar 31 13:25:22 +0000 2018,0.6486,0.275,0.0,0.725,33
33,BBCWorld,Indian lowest-caste Dalit man killed 'for owning horse' https://t.co/kUtVnFkcFK,Sat Mar 31 12:53:38 +0000 2018,-0.6705,0.0,0.36,0.64,34
34,BBCWorld,"""I'm just so happy to be home""

@Malala on her return to Pakistan for the first time since being shot by Taliban mi… https://t.co/cMcD8TUnuQ",Sat Mar 31 12:45:02 +0000 2018,0.6948,0.171,0.0,0.829,35
35,BBCWorld,"David Warner apologises for his part in the ball-tampering scandal and says he has a ""tiny ray of hope"" he might pl… https://t.co/nK6g1EFbsf",Sat Mar 31 12:22:34 +0000 2018,0.2023,0.177,0.109,0.714,36
36,BBCWorld,Office lunch theft: the internet reacts https://t.co/9OHdHiqYrs,Sat Mar 31 12:06:03 +0000 2018,0.0,0.0,0.0,1.0,37
37,BBCWorld,Tesla in fatal California crash was in Autopilot https://t.co/AJd2tl4clO,Sat Mar 31 10:40:54 +0000 2018,-0.7351,0.0,0.47,0.53,38
38,BBCWorld,Spy poisoning: Russia expels more UK diplomats https://t.co/VuszYDdPxl,Sat Mar 31 10:05:53 +0000 2018,-0.7506,0.0,0.516,0.484,39
39,BBCWorld,RT @bbcthree: The amazing deaf dancer sharing his love and passion with others https://t.co/LdHnu8Fmct,Sat Mar 31 10:02:07 +0000 2018,0.93,0.58,0.0,0.42,40
